pair_id,split,source_sample_id,original_path,retouched_path,original_source,retouched_source,original_official_url,original_official_md5,original_sha256,retouched_sha256,width,height,pairing_basis,pair_status,retouch_type,retouch_level,fine_grained_label_available,ground_truth_strength,recommended_usage,prohibited_assumption,ffhq_license,ffhq_license_url,ffhq_author,ffhqr_license
ffhq_00000,validation,00000,originals/00000.png,retouched/00000.png,FFHQ,FFHQR,https://drive.google.com/uc?id=1xJYS4u3p0wMmDtvUE13fOkxFaUGBoH42,ddeaeea6ce59569643715759d537fd1b,663ceacf5eef7cec9f1589d20fe4974f00beaf5a94b61ba4dea9a8b044626149,9b2f27c4dfd02537be3d08599d261b22cb7677bfe6c1539a3a692809d66536ad,1024,1024,official_shared_FFHQ_numeric_id,verified_pair,generic_professional_retouch,unknown,false,medium,binary_retouch_detection;paired_before_after_comparison;external_evaluation,do_not_infer_specific_operation_or_intensity_from_FFHQR_label,Attribution-NonCommercial License,https://creativecommons.org/licenses/by-nc/2.0/,Jeremy Frumkin,CC BY-NC-SA 4.0
ffhq_00001,train,00001,originals/00001.png,retouched/00001.png,FFHQ,FFHQR,https://drive.google.com/uc?id=1xFdaGg1bWKVKp1H6TMoeKkQB3-tspYNf,d86785e692be84c0af15fece0a778322,b3bf86efd287f8ee9c7bab9718369e305a80a4983471620f33086d991d3a002e,82b8b5440ba323056bd90e86e5d72823cecdf699b42a5a090e156ff2d2a04ab1,1024,1024,official_shared_FFHQ_numeric_id,verified_pair,generic_professional_retouch,unknown,false,medium,binary_retouch_detection;paired_before_after_comparison;external_evaluation,do_not_infer_specific_operation_or_intensity_from_FFHQR_label,Attribution License,https://creativecommons.org/licenses/by/2.0/,Cyber Shaman,CC BY-NC-SA 4.0
ffhq_00002,train,00002,originals/00002.png,retouched/00002.png,FFHQ,FFHQR,https://drive.google.com/uc?id=1xBaWXmZoiSM91uhjenyU6_jmVdIqjV_d,9252233c55868bd800ada6c5d8a4f745,6d33fc123f60fe6cb9852eeb743d6e3b643f24cd794bbb3205210a6a941a4bee,6c17ca3c19418de72a10e5f2ed6768522b433ab6a6deabb0511aaddb85c497c3,1024,1024,official_shared_FFHQ_numeric_id,verified_pair,generic_professional_retouch,unknown,false,medium,binary_retouch_detection;paired_before_after_comparison;external_evaluation,do_not_infer_specific_operation_or_intensity_from_FFHQR_label,Public Domain Dedication (CC0),https://creativecommons.org/publicdomain/zero/1.0/,Presidencia El Salvador,CC BY-NC-SA 4.0
ffhq_00003,train,00003,originals/00003.png,retouched/00003.png,FFHQ,FFHQR,https://drive.google.com/uc?id=1wwIGDbieFOKjTtWAVfbYv1BnvmtKWlLD,34c048850ae645c25c36467f338060b3,cbede299ec1bb921d9ea60b6b6b5dcb3f8bb6025f7dc163c7af744089e011f71,a0517d8e9e6ad700a30113d03d6a6e86422cde9d0a4e4d82e66851fc1ba9c274,1024,1024,official_shared_FFHQ_numeric_id,verified_pair,generic_professional_retouch,unknown,false,medium,binary_retouch_detection;paired_before_after_comparison;external_evaluation,do_not_infer_specific_operation_or_intensity_from_FFHQR_label,Attribution-NonCommercial License,https://creativecommons.org/licenses/by-nc/2.0/,Alvin Smith,CC BY-NC-SA 4.0
ffhq_00004,train,00004,originals/00004.png,retouched/00004.png,FFHQ,FFHQR,https://drive.google.com/uc?id=1wjb7xWJ93E5fUaE6gvWZYtnDpIO3lxNV,ea3751ae3bb996ffdef94dbf90c6a183,33d406d2cd3e32dedb86523fb9a6d0b6fc000a158864115ce473e8e4b936d832,4279f458db28625d2670c485e9728e5bc1513fe8101e2cf12a530ac288e140a0,1024,1024,official_shared_FFHQ_numeric_id,verified_pair,generic_professional_retouch,unknown,false,medium,binary_retouch_detection;paired_before_after_comparison;external_evaluation,do_not_infer_specific_operation_or_intensity_from_FFHQR_label,Public Domain Mark,https://creativecommons.org/publicdomain/mark/1.0/,Abdallah Abdullah,CC BY-NC-SA 4.0
ffhq_00005,train,00005,originals/00005.png,retouched/00005.png,FFHQ,FFHQR,https://drive.google.com/uc?id=1wh4ZlvrRL34_Y3g4VQGkcUVOQ-SZMi2V,e05d12fb57e43c7624101ecda78ef0ad,d70eb9526758ce0ce34a60bd40371c612667f02b10ae49657be8c0de64b9e4bb,c46a94d66162fc9e16d8207f9c1d00687dbc09ef9a70a43694162095e584be10,1024,1024,official_shared_FFHQ_numeric_id,verified_pair,generic_professional_retouch,unknown,false,medium,binary_retouch_detection;paired_before_after_comparison;external_evaluation,do_not_infer_specific_operation_or_intensity_from_FFHQR_label,Attribution-NonCommercial License,https://creativecommons.org/licenses/by-nc/2.0/,Bas Boerman,CC BY-NC-SA 4.0
ffhq_00006,train,00006,originals/00006.png,retouched/00006.png,FFHQ,FFHQR,https://drive.google.com/uc?id=1wa21vca8P8cq6qVwMmo4Kl4ZySceM2ul,39a823986a0ad84d823aceefc9a17af7,cdabe8c79d8855d97ca82442683fdcc3fbdc5358f02327e10fa2fa25889df019,b79827b2fe61aafda91283071c5aa1ba8c097b0e38c21235d0cf38e439769f96,1024,1024,official_shared_FFHQ_numeric_id,verified_pair,generic_professional_retouch,unknown,false,medium,binary_retouch_detection;paired_before_after_comparison;external_evaluation,do_not_infer_specific_operation_or_intensity_from_FFHQR_label,Attribution-NonCommercial License,https://creativecommons.org/licenses/by-nc/2.0/,Mindsay Mohan,CC BY-NC-SA 4.0
ffhq_00007,train,00007,originals/00007.png,retouched/00007.png,FFHQ,FFHQR,https://drive.google.com/uc?id=1wGHiiNiibaxgV9Bz5x1LqudjSP6cppP-,ae2ce10cc94474caaa62c19684744eb2,685f02a31719856b670c081b073c5c1b1baa959c130c4cca43c240d05bd2fe6f,f0178dff95edde9c7ce5d36ae324172ccc6eae09fa5ed041c614c872c086a53b,1024,1024,official_shared_FFHQ_numeric_id,verified_pair,generic_professional_retouch,unknown,false,medium,binary_retouch_detection;paired_before_after_comparison;external_evaluation,do_not_infer_specific_operation_or_intensity_from_FFHQR_label,Attribution-NonCommercial License,https://creativecommons.org/licenses/by-nc/2.0/,Pan American Health Organization  PAHO,CC BY-NC-SA 4.0
ffhq_00008,train,00008,originals/00008.png,retouched/00008.png,FFHQ,FFHQR,https://drive.google.com/uc?id=1wF-TQthMj6uf_CNbBWKTeh9W0o-qexJT,a117453649096ded47c8c0034e719af2,75681221a62b5e2999db51ca307a8b89d612e0310a36f96d71ca81bcebba4297,5ffe21e55fbd24ccd96871c07e5ea55fe377f07e614e779f6f8d41905a460f30,1024,1024,official_shared_FFHQ_numeric_id,verified_pair,generic_professional_retouch,unknown,false,medium,binary_retouch_detection;paired_before_after_comparison;external_evaluation,do_not_infer_specific_operation_or_intensity_from_FFHQR_label,Attribution-NonCommercial License,https://creativecommons.org/licenses/by-nc/2.0/,rickysck,CC BY-NC-SA 4.0
ffhq_00009,train,00009,originals/00009.png,retouched/00009.png,FFHQ,FFHQR,https://drive.google.com/uc?id=1wLyMUiNnN_-_wdLJzzyjeitBWmfGM-B-,4e2d6812fc60ee1e9c0c00f709eb0273,26866923f38226bedfc817e8d80e2873b863589ec930091aab3a8705007856db,65b83d1f42d49c57aeef6ae67b21da3775ebdcc151a20f7611235193b0a24e1f,1024,1024,official_shared_FFHQ_numeric_id,verified_pair,generic_professional_retouch,unknown,false,medium,binary_retouch_detection;paired_before_after_comparison;external_evaluation,do_not_infer_specific_operation_or_intensity_from_FFHQR_label,Attribution License,https://creativecommons.org/licenses/by/2.0/,vivekt08,CC BY-NC-SA 4.0
