pair_id,split,source_sample_id,width,height,sample_id,relative_path,source_dataset,class_id,class_name,retouch_present,retouch_type,retouch_level,sha256
ffhq_00000,validation,00000,1024,1024,ffhq_00000,originals/00000.png,FFHQ,0,original,false,none,none,663ceacf5eef7cec9f1589d20fe4974f00beaf5a94b61ba4dea9a8b044626149
ffhq_00000,validation,00000,1024,1024,ffhqr_00000,retouched/00000.png,FFHQR,1,professionally_retouched,true,generic_professional_retouch,unknown,9b2f27c4dfd02537be3d08599d261b22cb7677bfe6c1539a3a692809d66536ad
ffhq_00001,train,00001,1024,1024,ffhq_00001,originals/00001.png,FFHQ,0,original,false,none,none,b3bf86efd287f8ee9c7bab9718369e305a80a4983471620f33086d991d3a002e
ffhq_00001,train,00001,1024,1024,ffhqr_00001,retouched/00001.png,FFHQR,1,professionally_retouched,true,generic_professional_retouch,unknown,82b8b5440ba323056bd90e86e5d72823cecdf699b42a5a090e156ff2d2a04ab1
ffhq_00002,train,00002,1024,1024,ffhq_00002,originals/00002.png,FFHQ,0,original,false,none,none,6d33fc123f60fe6cb9852eeb743d6e3b643f24cd794bbb3205210a6a941a4bee
ffhq_00002,train,00002,1024,1024,ffhqr_00002,retouched/00002.png,FFHQR,1,professionally_retouched,true,generic_professional_retouch,unknown,6c17ca3c19418de72a10e5f2ed6768522b433ab6a6deabb0511aaddb85c497c3
ffhq_00003,train,00003,1024,1024,ffhq_00003,originals/00003.png,FFHQ,0,original,false,none,none,cbede299ec1bb921d9ea60b6b6b5dcb3f8bb6025f7dc163c7af744089e011f71
ffhq_00003,train,00003,1024,1024,ffhqr_00003,retouched/00003.png,FFHQR,1,professionally_retouched,true,generic_professional_retouch,unknown,a0517d8e9e6ad700a30113d03d6a6e86422cde9d0a4e4d82e66851fc1ba9c274
ffhq_00004,train,00004,1024,1024,ffhq_00004,originals/00004.png,FFHQ,0,original,false,none,none,33d406d2cd3e32dedb86523fb9a6d0b6fc000a158864115ce473e8e4b936d832
ffhq_00004,train,00004,1024,1024,ffhqr_00004,retouched/00004.png,FFHQR,1,professionally_retouched,true,generic_professional_retouch,unknown,4279f458db28625d2670c485e9728e5bc1513fe8101e2cf12a530ac288e140a0
ffhq_00005,train,00005,1024,1024,ffhq_00005,originals/00005.png,FFHQ,0,original,false,none,none,d70eb9526758ce0ce34a60bd40371c612667f02b10ae49657be8c0de64b9e4bb
ffhq_00005,train,00005,1024,1024,ffhqr_00005,retouched/00005.png,FFHQR,1,professionally_retouched,true,generic_professional_retouch,unknown,c46a94d66162fc9e16d8207f9c1d00687dbc09ef9a70a43694162095e584be10
ffhq_00006,train,00006,1024,1024,ffhq_00006,originals/00006.png,FFHQ,0,original,false,none,none,cdabe8c79d8855d97ca82442683fdcc3fbdc5358f02327e10fa2fa25889df019
ffhq_00006,train,00006,1024,1024,ffhqr_00006,retouched/00006.png,FFHQR,1,professionally_retouched,true,generic_professional_retouch,unknown,b79827b2fe61aafda91283071c5aa1ba8c097b0e38c21235d0cf38e439769f96
ffhq_00007,train,00007,1024,1024,ffhq_00007,originals/00007.png,FFHQ,0,original,false,none,none,685f02a31719856b670c081b073c5c1b1baa959c130c4cca43c240d05bd2fe6f
ffhq_00007,train,00007,1024,1024,ffhqr_00007,retouched/00007.png,FFHQR,1,professionally_retouched,true,generic_professional_retouch,unknown,f0178dff95edde9c7ce5d36ae324172ccc6eae09fa5ed041c614c872c086a53b
ffhq_00008,train,00008,1024,1024,ffhq_00008,originals/00008.png,FFHQ,0,original,false,none,none,75681221a62b5e2999db51ca307a8b89d612e0310a36f96d71ca81bcebba4297
ffhq_00008,train,00008,1024,1024,ffhqr_00008,retouched/00008.png,FFHQR,1,professionally_retouched,true,generic_professional_retouch,unknown,5ffe21e55fbd24ccd96871c07e5ea55fe377f07e614e779f6f8d41905a460f30
ffhq_00009,train,00009,1024,1024,ffhq_00009,originals/00009.png,FFHQ,0,original,false,none,none,26866923f38226bedfc817e8d80e2873b863589ec930091aab3a8705007856db
ffhq_00009,train,00009,1024,1024,ffhqr_00009,retouched/00009.png,FFHQR,1,professionally_retouched,true,generic_professional_retouch,unknown,65b83d1f42d49c57aeef6ae67b21da3775ebdcc151a20f7611235193b0a24e1f
ffhq_00010,train,00010,1024,1024,ffhq_00010,originals/00010.png,FFHQ,0,original,false,none,none,14b641b8866c7b912d4d424184d85bbecc6fa393f68cf337fbeb8dabd32de313
ffhq_00010,train,00010,1024,1024,ffhqr_00010,retouched/00010.png,FFHQR,1,professionally_retouched,true,generic_professional_retouch,unknown,3658a6c99cb6129149fc8368f5304847cb7fb20795ca76f6efde434c9b61e9b0
ffhq_00011,train,00011,1024,1024,ffhq_00011,originals/00011.png,FFHQ,0,original,false,none,none,1e9688d6869112cb5887829621b6abe00987f08399d989cec6bafb13a18c5139
ffhq_00011,train,00011,1024,1024,ffhqr_00011,retouched/00011.png,FFHQR,1,professionally_retouched,true,generic_professional_retouch,unknown,1767e91b4cfd73272c6ddfbb59cc86c7261cc7cfb9a762e9e409cc0435bc10a5
ffhq_00012,test,00012,1024,1024,ffhq_00012,originals/00012.png,FFHQ,0,original,false,none,none,d70bb95e6e888076c0c61bac30477b32cd15632dab564651873874adba0dcc09
ffhq_00012,test,00012,1024,1024,ffhqr_00012,retouched/00012.png,FFHQR,1,professionally_retouched,true,generic_professional_retouch,unknown,585e5f19fd19b5529f7529589c5821579ec78d2c7d930a87f513e963b09661b4
ffhq_00013,test,00013,1024,1024,ffhq_00013,originals/00013.png,FFHQ,0,original,false,none,none,54e231bb1f7dd448c1e76d9443980526e4404619838d48c2065e5adc1cc689f4
ffhq_00013,test,00013,1024,1024,ffhqr_00013,retouched/00013.png,FFHQR,1,professionally_retouched,true,generic_professional_retouch,unknown,d111fe66513e896e5a76d023e2376f2210ac5a34a108c94f3944ee208b15dba2
ffhq_00014,train,00014,1024,1024,ffhq_00014,originals/00014.png,FFHQ,0,original,false,none,none,edb3e4fd481449750e301640b9535b783da3e34af5330a9b43b060ea928bac1a
ffhq_00014,train,00014,1024,1024,ffhqr_00014,retouched/00014.png,FFHQR,1,professionally_retouched,true,generic_professional_retouch,unknown,1149522fc937d1a37843c339d0e37cc7af4ecf9df77817ee7e72b6c2befb8e7d
ffhq_00015,train,00015,1024,1024,ffhq_00015,originals/00015.png,FFHQ,0,original,false,none,none,a8075abe5f5061f6fd66cf4e1dbf0be02a66f1f856c2fe315707cd6ed4c748f4
ffhq_00015,train,00015,1024,1024,ffhqr_00015,retouched/00015.png,FFHQR,1,professionally_retouched,true,generic_professional_retouch,unknown,e6845b354809253792d8f3c8533de4d2819ce5aa77e661f799238ff634370228
ffhq_00016,train,00016,1024,1024,ffhq_00016,originals/00016.png,FFHQ,0,original,false,none,none,69cb934aa3b8adf24661c3ec9827f651d40eb4ca4bd29c326bd3ade9e4e5156b
ffhq_00016,train,00016,1024,1024,ffhqr_00016,retouched/00016.png,FFHQR,1,professionally_retouched,true,generic_professional_retouch,unknown,cdf4f57c87856ce9772d321adb668afaa9f4b0c3f00b5ae00c851128f80f7684
ffhq_00017,train,00017,1024,1024,ffhq_00017,originals/00017.png,FFHQ,0,original,false,none,none,cc568fcbb37b2a849f20b199cc77ff17de1b34be68b069af24b76c0ac7955fbd
ffhq_00017,train,00017,1024,1024,ffhqr_00017,retouched/00017.png,FFHQR,1,professionally_retouched,true,generic_professional_retouch,unknown,e6d5a9d5be321cc48919b48ec036be742017660964d42472fb606c7f27827244
ffhq_00018,test,00018,1024,1024,ffhq_00018,originals/00018.png,FFHQ,0,original,false,none,none,9defa03a7329925475d2978c17e8c9605f0d8dae40baa7fb8890fc2881dd79a1
ffhq_00018,test,00018,1024,1024,ffhqr_00018,retouched/00018.png,FFHQR,1,professionally_retouched,true,generic_professional_retouch,unknown,6b3373be122f39f04411aa202f6fa264c8a193ff6777f7ac3d53a46715c8d0ea
