file,TruFor_Integrity_Score,BeautyProof_Suspicion_Score
ffhq_face03_original.png.npz,0.24041,0.75959
ffhq_face03_q50.jpg.npz,0.331227,0.668773
ffhq_face03_q20.jpg.npz,0.266086,0.733914
ffhq_face04_original.png.npz,0.375314,0.624686
ffhq_face04_q50.jpg.npz,0.425798,0.574202
ffhq_face04_q20.jpg.npz,0.632302,0.367698
ffhq_face05_original.png.npz,0.162176,0.837824
ffhq_face05_q50.jpg.npz,0.256146,0.743854
ffhq_face05_q20.jpg.npz,0.453816,0.546184
ffhq_face06_original.png.npz,0.123244,0.876756
ffhq_face06_q50.jpg.npz,0.551291,0.448709
ffhq_face06_q20.jpg.npz,0.383078,0.616922
ffhq_face07_original.png.npz,0.113137,0.886863
ffhq_face07_q50.jpg.npz,0.219553,0.780447
ffhq_face07_q20.jpg.npz,0.39529,0.60471
ffhq_face08_original.png.npz,0.338507,0.661493
ffhq_face08_q50.jpg.npz,0.366607,0.633393
ffhq_face08_q20.jpg.npz,0.365039,0.634961
ffhq_face09_original.png.npz,0.555832,0.444168
ffhq_face09_q50.jpg.npz,0.670843,0.329157
ffhq_face09_q20.jpg.npz,0.535144,0.464856
ffhq_face10_original.png.npz,0.170617,0.829383
ffhq_face10_q50.jpg.npz,0.235324,0.764676
ffhq_face10_q20.jpg.npz,0.335783,0.664217
ffhq_jpeg_q50.jpg.npz,0.426692,0.573308
ffhq_jpeg_q20.jpg.npz,0.505211,0.494789
pristine2.jpg.npz,0.188464,0.811536
tampered1.png.npz,0.997613,0.002387
